Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Decade
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,WD,Normal,208500,2000
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,WD,Normal,181500,1970
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,WD,Normal,223500,2000
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml,140000,1910
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,WD,Normal,250000,2000
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0,TA,TA,Wood,TA,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,143000,1990
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD,Normal,307000,2000
8,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD,Normal,200000,1970
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,,,,0,4,2008,WD,Abnorml,129900,1930
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD,Normal,118000,1930
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,Plywood,Plywood,BrkFace,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,,Attchd,1965,Unf,1,384,TA,TA,Y,0,36,0,0,0,0,,,,0,3,2008,WD,Normal,129500,1960
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,0,0,3,0,4,1,Ex,9,Typ,2,TA,Attchd,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,,,,0,1,2008,New,Partial,345000,2000
13,20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,,Attchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,,,,0,10,2007,WD,Normal,144000,1960
14,20,RL,91.0,9042,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Ex,TA,Av,GLQ,733,Unf,0,520,1253,GasA,Ex,Y,SBrkr,1494,0,0,1494,1,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,2007,RFn,3,840,TA,TA,Y,393,84,0,0,0,0,,,,0,8,2007,New,Partial,279500,2000
15,20,RL,,9717,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,TA,No,Rec,578,Unf,0,426,1004,GasA,Gd,Y,SBrkr,1004,0,0,1004,1,0,1,1,3,1,TA,5,Typ,1,Gd,Attchd,1960,Fin,1,294,Fa,TA,Y,0,50,0,0,0,0,,MnPrv,,0,5,2008,WD,Normal,157000,1960
16,45,RM,51.0,8404,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,CemntBd,CmentBd,,0,TA,TA,BrkTil,Gd,TA,No,GLQ,733,Unf,0,94,827,GasA,Gd,Y,SBrkr,1231,0,0,1231,0,0,2,0,3,1,Gd,6,Typ,0,,Detchd,1929,Unf,3,528,TA,TA,Y,212,34,0,0,0,0,,,,0,7,2007,WD,Normal,132000,1920
17,20,RL,,10625,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,Gd,No,BLQ,578,Unf,0,426,1004,GasA,Gd,Y,SBrkr,1004,0,0,1004,0,0,1,0,3,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2009,WD,Normal,149000,1970
18,20,RL,,9500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1008,1008,GasA,Ex,Y,SBrkr,1008,0,0,1008,0,0,2,0,3,1,TA,5,Typ,0,,Detchd,1967,Unf,2,430,TA,TA,Y,235,0,206,0,0,0,,MnPrv,,0,2,2008,WD,Normal,90000,1960
19,20,RL,60.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,6,1961,1996,Gable,CompShg,Plywood,Plywood,,0,TA,TA,CBlock,TA,TA,Av,BLQ,227,Unf,0,851,1078,GasA,Gd,Y,SBrkr,1107,0,0,1107,1,0,2,0,3,1,TA,5,Typ,1,TA,Attchd,1961,Unf,1,312,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD,Normal,159000,1960
20,20,RL,,7108,Pave,,IR1,HLS,AllPub,Inside,Sev,NWAmes,Norm,Norm,1Fam,1Story,7,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,75,TA,TA,CBlock,TA,TA,No,ALQ,566,Unf,0,336,902,GasA,TA,Y,SBrkr,902,0,0,902,1,0,1,0,2,1,TA,6,Typ,0,,Attchd,1966,Unf,2,470,TA,TA,Y,0,34,0,0,0,0,,,,0,7,2008,WD,Normal,139000,1960
21,60,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,164,Gd,TA,PConc,Ex,TA,No,GLQ,1104,Unf,0,137,1241,GasA,Ex,Y,SBrkr,1304,829,0,2133,1,0,3,0,3,1,Gd,7,Typ,2,Gd,Attchd,2003,Fin,2,541,TA,TA,Y,0,58,0,0,0,0,,,,0,7,2006,WD,Normal,325300,2000
22,45,RM,51.0,6120,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,1920,1994,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,BrkTil,TA,TA,No,Rec,0,Unf,0,519,519,GasA,TA,Y,FuseA,546,546,0,1092,0,0,1,0,2,1,TA,6,Typ,0,,Detchd,1920,Unf,1,336,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2006,WD,Normal,139400,1920
23,20,RL,,8000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1950,1958,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,GLQ,383,Unf,0,657,1040,GasA,TA,Y,SBrkr,1040,0,0,1040,1,0,2,0,3,1,TA,5,Typ,0,,Attchd,1950,Unf,1,276,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2006,WD,Normal,230000,1950
24,120,RM,,5858,Pave,,IR1,HLS,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,456,Ex,TA,PConc,Ex,TA,Av,GLQ,1012,Unf,0,139,1151,GasA,Ex,Y,SBrkr,1151,0,0,1151,1,0,2,0,2,1,Ex,6,Typ,1,TA,Attchd,2007,Fin,2,474,TA,TA,Y,0,84,0,0,0,0,,,,0,9,2006,New,Partial,329900,2000
25,20,RL,50.0,7442,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1950,1952,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,720,720,GasA,Gd,Y,SBrkr,720,0,0,720,0,0,1,0,2,1,TA,4,Typ,0,,Attchd,1950,Unf,1,264,TA,TA,Y,0,46,0,0,0,0,,,,0,3,2007,WD,Normal,110000,1950
26,20,RL,75.0,13900,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,TA,No,Rec,578,Unf,0,780,1358,GasA,Gd,Y,SBrkr,1358,0,0,1358,1,0,1,1,3,1,TA,6,Typ,0,,Detchd,1965,Unf,2,480,TA,TA,Y,100,0,0,0,0,0,,,,0,9,2008,WD,Normal,141000,1960
27,20,RL,,9235,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1957,2002,Gable,CompShg,Plywood,Plywood,,0,TA,TA,CBlock,TA,TA,No,GLQ,380,Unf,0,480,860,GasA,TA,Y,FuseA,860,0,0,860,0,0,1,0,3,1,TA,5,Typ,0,,Attchd,1957,Unf,2,440,TA,TA,Y,0,0,180,0,0,0,,,,0,1,2009,WD,Normal,145000,1950
28,20,RL,,9720,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,Gd,No,GLQ,862,Unf,0,138,1000,GasA,TA,Y,SBrkr,1000,0,0,1000,0,0,1,1,3,1,TA,6,Typ,0,,Attchd,1966,Unf,2,440,TA,TA,Y,0,60,0,0,0,0,,,,0,12,2007,WD,Normal,250000,1960
29,20,RL,,8235,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1969,1969,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,456,960,GasA,Ex,Y,SBrkr,1108,0,0,1108,1,0,2,0,3,1,TA,5,Typ,1,TA,Attchd,1969,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2007,WD,Normal,232600,1960
30,30,RM,60.0,6819,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1937,1950,Gable,CompShg,MetalSd,MetalSd,,0,TA,Fa,BrkTil,TA,TA,Mn,Unf,0,Unf,0,600,600,GasA,Fa,Y,FuseA,694,0,0,694,0,0,2,0,3,1,TA,5,Typ,0,,Detchd,1937,Unf,1,308,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2007,WD,Normal,107000,1930
31,60,RL,,11606,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,GLQ,750,Unf,0,432,1182,GasA,Ex,Y,SBrkr,1182,1002,0,2184,0,0,3,0,4,1,TA,9,Typ,2,Gd,Attchd,1971,RFn,2,506,TA,TA,Y,0,140,0,0,0,0,,,,0,3,2006,WD,Normal,166000,1970
32,20,RL,,10773,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1962,1994,Hip,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,Gd,TA,No,ALQ,798,Unf,0,176,974,GasA,Gd,Y,SBrkr,1149,0,0,1149,0,0,1,1,3,1,Gd,7,Typ,0,,Attchd,1993,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2008,WD,Normal,151000,1960
33,20,RL,85.0,10625,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1955,1975,Gable,CompShg,VinylSd,VinylSd,,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,900,900,GasA,Gd,Y,SBrkr,1089,0,0,1089,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1955,Unf,2,497,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2006,WD,Normal,116500,1950
34,20,RL,,6820,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,ALQ,590,Unf,0,670,1260,GasA,TA,Y,SBrkr,1260,0,0,1260,1,0,2,0,3,1,TA,6,Typ,0,,Attchd,1966,Unf,1,398,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,6,2009,WD,Normal,162500,1960
35,30,RL,68.0,8126,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1Story,5,5,1921,1970,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,894,894,GasA,Gd,Y,FuseA,894,0,0,894,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1960,Unf,1,308,Fa,TA,Y,0,0,0,0,0,0,,,,0,4,2006,WD,Normal,116000,1920
36,60,RL,75.0,11050,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1975,1975,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,ALQ,831,Unf,0,251,1082,GasA,Ex,Y,SBrkr,1082,928,0,2010,1,0,2,1,4,1,TA,8,Typ,2,Gd,Attchd,1975,RFn,2,528,TA,TA,Y,0,0,0,0,0,0,,,,0,12,2007,WD,Normal,170000,1970
37,20,RL,72.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,TA,No,LwQ,200,Unf,0,600,800,GasA,Gd,Y,SBrkr,912,0,0,912,0,0,2,0,3,1,TA,5,Typ,0,,Attchd,1968,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2007,WD,Normal,213500,1960
38,20,RL,64.0,7892,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,Rec,594,Unf,0,252,846,GasA,Gd,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,TA,5,Typ,0,,Attchd,1966,Unf,1,270,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2007,WD,Normal,230000,1960
39,20,RL,,7000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,800,800,GasA,Gd,Y,SBrkr,800,0,0,800,0,0,1,0,3,1,TA,5,Typ,0,,Attchd,1965,Fin,1,294,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2008,WD,Normal,100000,1960
40,20,RL,,10476,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,CemntBd,CmentBd,,0,Gd,TA,PConc,Gd,TA,No,GLQ,825,Unf,0,465,1290,GasA,Ex,Y,SBrkr,1290,0,0,1290,1,0,2,0,2,1,Gd,6,Typ,2,TA,Attchd,2004,Fin,2,588,TA,TA,Y,0,66,0,0,0,0,,,,0,4,2006,WD,Normal,236500,2000
